,p1,p2,relationship
0,F0123/MID1/P01276_face0.jpg,F0644/MID2/P06777_face5.jpg,0
1,F0422/MID4/P09338_face1.jpg,F0468/MID3/P04935_face1.jpg,0
2,F0873/MID4/P09220_face3.jpg,F0758/MID2/P08002_face2.jpg,0
3,F0422/MID4/P09338_face1.jpg,F0200/MID4/P02158_face0.jpg,0
4,F0311/MID1/P03309_face1.jpg,F0109/MID1/P01122_face1.jpg,0
5,F0119/MID1/P01243_face0.jpg,F0713/MID1/P07473_face0.jpg,0
6,F0342/MID5/P03646_face0.jpg,F0370/MID2/P03920_face1.jpg,0
7,F0917/MID3/P09684_face0.jpg,F0290/MID6/P03086_face2.jpg,0
8,F0311/MID1/P03309_face1.jpg,F0290/MID4/P03088_face4.jpg,0
9,F0873/MID4/P09220_face3.jpg,F0044/MID2/P00442_face2.jpg,0
10,F0797/MID3/P08437_face0.jpg,F0470/MID3/P04954_face1.jpg,0
11,F0422/MID4/P09338_face1.jpg,F0421/MID9/P04423_face6.jpg,0
12,F0785/MID7/P08287_face7.jpg,F0939/MID3/P09901_face2.jpg,0
13,F0199/MID1/P02146_face1.jpg,F0713/MID4/P07472_face0.jpg,0
14,F0311/MID1/P03309_face1.jpg,F0719/MID1/P07538_face1.jpg,0
15,F0311/MID1/P03309_face1.jpg,F0681/MID2/P07107_face0.jpg,0
16,F0917/MID3/P09684_face0.jpg,F0199/MID1/P02146_face1.jpg,0
17,F0797/MID3/P08437_face0.jpg,F0999/MID5/P10553_face1.jpg,0
18,F0176/MID1/P01895_face2.jpg,F0791/MID4/P08341_face0.jpg,0
19,F0917/MID3/P09684_face0.jpg,F0167/MID4/P01797_face1.jpg,0
20,F0581/MID3/P06110_face2.jpg,F0547/MID2/P05737_face2.jpg,0
21,F0119/MID1/P01243_face0.jpg,F0752/MID3/P07883_face3.jpg,0
22,F0758/MID1/P07997_face0.jpg,F0752/MID3/P07884_face4.jpg,0
23,F0581/MID3/P06110_face2.jpg,F0123/MID4/P01282_face0.jpg,0
24,F0917/MID3/P09684_face0.jpg,F0939/MID3/P09902_face5.jpg,0
25,F0342/MID5/P03646_face0.jpg,F0617/MID3/P06475_face0.jpg,0
26,F0176/MID1/P01895_face2.jpg,F0713/MID1/P07472_face2.jpg,0
27,F0342/MID5/P03646_face0.jpg,F0705/MID1/P07393_face1.jpg,0
28,F0581/MID3/P06110_face2.jpg,F0927/MID1/P09777_face0.jpg,0
29,F0342/MID5/P03646_face0.jpg,F0879/MID3/P09276_face3.jpg,0
30,F0917/MID3/P09684_face0.jpg,F0360/MID1/P12313_face0.jpg,0
31,F0917/MID3/P09684_face0.jpg,F0665/MID4/P06953_face3.jpg,0
32,F0917/MID3/P09684_face0.jpg,F0119/MID1/P01238_face1.jpg,0
33,F0785/MID7/P08287_face7.jpg,F0573/MID3/P06020_face3.jpg,0
34,F0665/MID2/P06955_face0.jpg,F0071/MID1/P00725_face0.jpg,0
35,F0342/MID5/P03646_face0.jpg,F0633/MID3/P06643_face2.jpg,0
36,F0785/MID7/P08287_face7.jpg,F0791/MID4/P08341_face0.jpg,0
37,F0071/MID1/P00724_face0.jpg,F0148/MID2/P01604_face1.jpg,0
38,F0199/MID1/P02146_face1.jpg,F0568/MID1/P05974_face2.jpg,0
39,F0917/MID3/P09684_face0.jpg,F0841/MID1/P08886_face0.jpg,0
40,F0328/MID2/P03483_face6.jpg,F0344/MID2/P03658_face0.jpg,0
41,F0328/MID2/P03483_face6.jpg,F0575/MID2/P06046_face1.jpg,0
42,F0581/MID3/P06110_face2.jpg,F0409/MID3/P04309_face0.jpg,0
43,F0422/MID4/P09338_face1.jpg,F0448/MID2/P04733_face2.jpg,0
44,F0758/MID1/P07997_face0.jpg,F0183/MID5/P01960_face1.jpg,0
45,F0785/MID7/P08287_face7.jpg,F0705/MID2/P07387_face1.jpg,0
46,F0665/MID2/P06955_face0.jpg,F0500/MID1/P05290_face0.jpg,0
47,F0123/MID1/P01276_face0.jpg,F0126/MID3/P01300_face0.jpg,0
48,F0758/MID1/P07997_face0.jpg,F0996/MID1/P10529_face2.jpg,0
49,F0119/MID1/P01243_face0.jpg,F0970/MID2/P10219_face1.jpg,0
50,F0422/MID4/P09338_face1.jpg,F0311/MID2/P03309_face3.jpg,0
51,F0311/MID1/P03309_face1.jpg,F0443/MID5/P04681_face4.jpg,0
52,F0342/MID5/P03646_face0.jpg,F0674/MID5/P07041_face1.jpg,0
53,F0176/MID1/P01895_face2.jpg,F0040/MID2/P00413_face4.jpg,0
54,F0797/MID3/P08437_face0.jpg,F0446/MID2/P04712_face1.jpg,0
55,F0873/MID4/P09220_face3.jpg,F0311/MID1/P03308_face1.jpg,0
56,F0119/MID1/P01243_face0.jpg,F0752/MID2/P07901_face1.jpg,0
57,F0422/MID4/P09338_face1.jpg,F0815/MID5/P08614_face0.jpg,0
58,F0917/MID3/P09684_face0.jpg,F0358/MID5/P10928_face5.jpg,0
59,F0119/MID1/P01243_face0.jpg,F0200/MID1/P02154_face1.jpg,0
60,F0731/MID1/P07662_face2.jpg,F0943/MID3/P09937_face1.jpg,0
61,F0633/MID2/P06649_face1.jpg,F0752/MID4/P07897_face1.jpg,0
62,F0917/MID3/P09684_face0.jpg,F0421/MID3/P04429_face0.jpg,0
63,F0731/MID1/P07662_face2.jpg,F0996/MID1/P10522_face0.jpg,0
64,F0176/MID1/P01895_face2.jpg,F0858/MID1/P09066_face0.jpg,0
65,F0123/MID1/P01276_face0.jpg,F0910/MID4/P09608_face3.jpg,0
66,F0422/MID4/P09338_face1.jpg,F0919/MID2/P09703_face2.jpg,0
67,F0785/MID7/P08287_face7.jpg,F0736/MID2/P07710_face0.jpg,0
68,F0665/MID2/P06955_face0.jpg,F0438/MID1/P04609_face1.jpg,0
69,F0581/MID3/P06110_face2.jpg,F0832/MID4/P08796_face1.jpg,0
70,F0123/MID1/P01276_face0.jpg,F0133/MID3/P09125_face1.jpg,0
71,F0917/MID3/P09684_face0.jpg,F0930/MID2/P09812_face4.jpg,0
72,F0633/MID2/P06649_face1.jpg,F0713/MID3/P07475_face1.jpg,0
73,F0873/MID4/P09220_face3.jpg,F0836/MID1/P08837_face0.jpg,0
74,F0071/MID1/P00724_face0.jpg,F0091/MID1/P00933_face2.jpg,0
75,F0119/MID1/P01243_face0.jpg,F0750/MID1/P07860_face0.jpg,0
76,F0342/MID5/P03646_face0.jpg,F0074/MID1/P11162_face0.jpg,0
77,F0665/MID2/P06955_face0.jpg,F0438/MID2/P04630_face1.jpg,0
78,F0665/MID2/P06955_face0.jpg,F0183/MID5/P01963_face0.jpg,0
79,F0311/MID1/P03309_face1.jpg,F0422/MID1/P09338_face2.jpg,0
80,F0665/MID2/P06955_face0.jpg,F0450/MID4/P04759_face1.jpg,0
81,F0917/MID3/P09684_face0.jpg,F0457/MID1/P04834_face2.jpg,0
82,F0311/MID1/P03309_face1.jpg,F0663/MID2/P06937_face2.jpg,0
83,F0665/MID2/P06955_face0.jpg,F0769/MID1/P08116_face1.jpg,0
84,F0328/MID2/P03483_face6.jpg,F0563/MID2/P05914_face1.jpg,0
85,F0342/MID5/P03646_face0.jpg,F0182/MID2/P01946_face1.jpg,0
86,F0176/MID1/P01895_face2.jpg,F0450/MID4/P04758_face4.jpg,0
87,F0342/MID5/P03646_face0.jpg,F0427/MID2/P04494_face1.jpg,0
88,F0119/MID1/P01243_face0.jpg,F0283/MID5/P03019_face1.jpg,0
89,F0665/MID2/P06955_face0.jpg,F0809/MID3/P08557_face1.jpg,0
90,F0785/MID7/P08287_face7.jpg,F0705/MID2/P07378_face4.jpg,0
91,F0342/MID5/P03646_face0.jpg,F0990/MID7/P10429_face3.jpg,0
92,F0633/MID2/P06649_face1.jpg,F0044/MID2/P00436_face1.jpg,0
93,F0797/MID3/P08437_face0.jpg,F0065/MID1/P00663_face0.jpg,0
94,F0199/MID1/P02146_face1.jpg,F0487/MID1/P05128_face0.jpg,0
